date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:59:49	7474/7474	---M-Z	200	added ('OK')	text/html	etag:%222a0-1d32-4abb45eee9680%22	http://help.semafora-systems.com/rule_graph.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/rule_graph.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:49	7903/7903	---M-Z	200	added ('OK')	text/html	etag:%2229e-1edf-4abb45ed01200%22	http://help.semafora-systems.com/rule_body_view.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/rule_body_view.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:50	7086/7086	---M-Z	200	added ('OK')	text/html	etag:%222de-1bae-4abb461bbc040%22	http://help.semafora-systems.com/tuples.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/tuples.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:50	7168/7168	---M-Z	200	added ('OK')	text/html	etag:%22198-1c00-4abb454cc9800%22	http://help.semafora-systems.com/debug_monitor.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/debug_monitor.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:50	10568/10568	---M-Z	200	added ('OK')	text/html	etag:%2218a-2948-4abb453e7b640%22	http://help.semafora-systems.com/creating_and_executing_a_query.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/creating_and_executing_a_query.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:50	9738/9738	---M-Z	200	added ('OK')	text/html	etag:%2228b-260a-4abb45e283940%22	http://help.semafora-systems.com/reading_and_editing.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/reading_and_editing.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:51	8727/8727	---M-Z	200	added ('OK')	text/html	etag:%221a7-2217-4abb4553767c0%22	http://help.semafora-systems.com/editing_options.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/editing_options.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:51	11654/11654	---M-Z	200	added ('OK')	text/html	etag:%22281-2d86-4abb45deb3040%22	http://help.semafora-systems.com/query_results.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/query_results.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:51	8947/8947	---M-Z	200	added ('OK')	text/html	etag:%22187-22f3-4abb453c931c0%22	http://help.semafora-systems.com/copying_rules.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/copying_rules.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:52	12099/12099	---M-Z	200	added ('OK')	text/html	etag:%222d0-2f43-4abb460e620c0%22	http://help.semafora-systems.com/textual_queries.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/textual_queries.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:52	14350/14350	---M-Z	200	added ('OK')	text/html	etag:%2228d-380e-4abb45e377b80%22	http://help.semafora-systems.com/regression_test_runner.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/regression_test_runner.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:52	10000/10000	---M-Z	200	added ('OK')	text/html	etag:%221da-2710-4abb456e2a6c0%22	http://help.semafora-systems.com/genetic_optimize.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/genetic_optimize.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:52	16689/16689	---M-Z	200	added ('OK')	text/html	etag:%2224f-4131-4abb45c122a80%22	http://help.semafora-systems.com/optimization_results.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/optimization_results.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:53	7450/7450	---M-Z	200	added ('OK')	text/html	etag:%221eb-1d1a-4abb4574d7680%22	http://help.semafora-systems.com/import_function.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/import_function.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:53	11896/11896	---M-Z	200	added ('OK')	text/html	etag:%221d0-2e78-4abb456b4e000%22	http://help.semafora-systems.com/file_system_import.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/file_system_import.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:53	13888/13888	---M-Z	200	added ('OK')	text/html	etag:%222f7-3640-4abb462915fc0%22	http://help.semafora-systems.com/webdav_import.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/webdav_import.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:53	9436/9436	---M-Z	200	added ('OK')	text/html	etag:%221a5-24dc-4abb455282580%22	http://help.semafora-systems.com/edit_webdav.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/edit_webdav.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
